Timestamp, bus_booking_method,booking_frustrations, use_likelihood,fee_willingness,feature_preferences,main_route, preferred_mobile_money, booking_confirmations_preferences,whatsapp
04/11/2026 07:33,Physical trip to the station/inter-city terminus,"Lack of seat availability when I arrive, Uncertainty about departure times, Wasting time/money traveling to the station just to buy a ticket",I would use it every time I travel,Maybe,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Kitwe / Ndola,MTN MoMo,"WhatsApp, Email",
04/11/2026 08:42,Other,Poor safety/security at the station,I would rarely use it (I prefer the station),Maybe,Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.,Lusaka — Kitwe / Ndola,MTN MoMo,SMS/Text Message,765649686
04/11/2026 11:43,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would use it every time I travel,Yes,Seat Selection: Choosing exactly where I sit (Window or Aisle),Mongu - Lusaka - Ndola,MTN MoMo,"In-app push notification, SMS/Text Message, WhatsApp",966163750
04/11/2026 19:16,Physical trip to the station/inter-city terminus,Poor safety/security at the station,I would use it every time I travel,Yes,Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.,Kitwe - Solwezi ,Airtel Money,WhatsApp,972147952
04/11/2026 19:40,Other,Limited payment options (cash only),I would use it every time I travel,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Solwezi,MTN MoMo,"SMS/Text Message, In-app push notification, Email, WhatsApp",
04/11/2026 20:40,Physical trip to the station/inter-city terminus,"Lack of seat availability when I arrive, Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station",I would use it every time I travel,No,"Refreshments: Pre-ordering a drink or snack for the trip., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map.",Lusaka Mansa,Airtel Money,"Email, WhatsApp, SMS/Text Message",977687136
04/11/2026 21:19,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Uncertainty about departure times",I would likely use it for most trips,Maybe,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Kitwe / Ndola,Airtel Money,SMS/Text Message,
04/11/2026 21:34,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station",I would use it every time I travel,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Kitwe / Ndola,MTN MoMo,Email,
04/11/2026 21:51,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station",I would likely use it for most trips,Yes,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map.",Nakonde,Airtel Money,"In-app push notification, SMS/Text Message",
04/12/2026 00:23,"Physical trip to the station/inter-city terminus, Calling a driver or agent directly",Wasting time/money traveling to the station just to buy a ticket,I would likely use it for most trips,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip., Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Livingstone,Airtel Money,"WhatsApp, Email",2.60974E+11
04/12/2026 02:38,Other,Poor safety/security at the station,I would use it every time I travel,Yes,Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.,None,I prefer Bank/Card,SMS/Text Message,
04/12/2026 05:56,Calling a driver or agent directly,Lack of seat availability when I arrive,I would likely use it for most trips,Yes,Seat Selection: Choosing exactly where I sit (Window or Aisle),Lusaka — Kitwe / Ndola,MTN MoMo,WhatsApp,
04/12/2026 07:13,Physical trip to the station/inter-city terminus,Uncertainty about departure times,I would use it every time I travel,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip., Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Kitwe / Ndola,Airtel Money,SMS/Text Message,
04/12/2026 08:54,Physical trip to the station/inter-city terminus,Uncertainty about departure times,I would use it every time I travel,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Kitwe / Ndola,I prefer Bank/Card,"SMS/Text Message, Email",
04/12/2026 09:34,"Calling a driver or agent directly, Physical trip to the station/inter-city terminus","Uncertainty about departure times, Wasting time/money traveling to the station just to buy a ticket",I would likely use it for most trips,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip., Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Airtel Money,"Email, WhatsApp, SMS/Text Message",2.60978E+11
04/12/2026 15:45,Physical trip to the station/inter-city terminus,"Poor safety/security at the station, Uncertainty about departure times, Wasting time/money traveling to the station just to buy a ticket",I would use it every time I travel,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, SMS/Text Message",
04/12/2026 18:35,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would likely use it for most trips,Yes,Seat Selection: Choosing exactly where I sit (Window or Aisle),Lusaka — Solwezi,MTN MoMo,SMS/Text Message,763584750
04/12/2026 21:14,Physical trip to the station/inter-city terminus,"Poor safety/security at the station, Uncertainty about departure times, Wasting time/money traveling to the station just to buy a ticket",I would likely use it for most trips,Yes,Live Tracking: Seeing exactly where the bus is on a map.,Lusaka — Kitwe / Ndola,Airtel Money,WhatsApp,972555114
04/12/2026 22:26,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would use it every time I travel,Yes,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip., Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Kitwe / Ndola,I prefer Bank/Card,In-app push notification,969510650
4/13/2026 22:16:56,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would use it every time I travel,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Livingstone,Airtel Money,"WhatsApp, SMS/Text Message",
4/13/2026 22:19:17,Physical trip to the station/inter-city terminus,Lack of seat availability when I arrive,I would use it every time I travel,Yes,Live Tracking: Seeing exactly where the bus is on a map.,Lusaka — Kitwe / Ndola,Airtel Money,In-app push notification,976201214
4/14/2026 16:33:41,Physical trip to the station/inter-city terminus,"Lack of seat availability when I arrive, Uncertainty about departure times",I would use it every time I travel,Maybe,"Refreshments: Pre-ordering a drink or snack for the trip., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Harare,Airtel Money,"SMS/Text Message, WhatsApp",771684233
4/16/2026 23:22:18,Physical trip to the station/inter-city terminus,"Poor safety/security at the station, Wasting time/money traveling to the station just to buy a ticket, Limited payment options (cash only)",I would use it every time I travel,Maybe,"Refreshments: Pre-ordering a drink or snack for the trip., Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Solwezi,Airtel Money,SMS/Text Message,955313082
4/17/2026 16:20:51,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station",I would use it every time I travel,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,MTN MoMo,"SMS/Text Message, WhatsApp",
4/17/2026 16:35:56,Physical trip to the station/inter-city terminus,"Uncertainty about departure times, Wasting time/money traveling to the station just to buy a ticket, Poor safety/security at the station, Lack of seat availability when I arrive, Limited payment options (cash only)",I would use it every time I travel,Yes,"Refreshments: Pre-ordering a drink or snack for the trip., Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Airtel Money,"SMS/Text Message, WhatsApp, Email",767624187
4/17/2026 17:31:02,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would likely use it for most trips,Yes,Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.,Zambezi ,Airtel Money,WhatsApp,
4/17/2026 20:30:35,"Physical trip to the station/inter-city terminus, Other","Wasting time/money traveling to the station just to buy a ticket, Limited payment options (cash only), Lack of seat availability when I arrive",I would likely use it for most trips,Maybe,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka- Manda/Kashikishi,Airtel Money,"In-app push notification, Email, SMS/Text Message",2.60974E+11
4/17/2026 20:32:03,Physical trip to the station/inter-city terminus,Poor safety/security at the station,I would likely use it for most trips,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip., Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, Email",
4/17/2026 20:37:46,Physical trip to the station/inter-city terminus,Uncertainty about departure times,I would likely use it for most trips,No,Seat Selection: Choosing exactly where I sit (Window or Aisle),Lusaka — Kitwe / Ndola,MTN MoMo,SMS/Text Message,
4/17/2026 20:38:11,Physical trip to the station/inter-city terminus,Uncertainty about departure times,I would use it every time I travel,No,"Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle), Refreshments: Pre-ordering a drink or snack for the trip.",Lusaka — Kitwe / Ndola,I prefer Bank/Card,WhatsApp,
4/17/2026 20:43:31,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Lack of seat availability when I arrive",I would use it every time I travel,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.",Lusaka — Kitwe / Ndola,Airtel Money,"WhatsApp, SMS/Text Message",0977-513405 
4/17/2026 20:43:56,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would use it every time I travel,Yes,Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.,Lusaka — Solwezi,Airtel Money,"SMS/Text Message, WhatsApp, Email",977413541
4/17/2026 20:46:31,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would use it every time I travel,Yes,Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.,Lusaka — Solwezi,Airtel Money,"Email, SMS/Text Message, WhatsApp",977413541
4/17/2026 20:48:26,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Uncertainty about departure times, Lack of seat availability when I arrive",I would likely use it for most trips,Maybe,"Refreshments: Pre-ordering a drink or snack for the trip., Live Tracking: Seeing exactly where the bus is on a map., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka — Kitwe / Ndola,Airtel Money,WhatsApp,978757533
4/17/2026 21:06:29,Physical trip to the station/inter-city terminus,"Limited payment options (cash only), Uncertainty about departure times, Lack of seat availability when I arrive, Poor safety/security at the station, Wasting time/money traveling to the station just to buy a ticket",I would likely use it for most trips,Yes,"Seat Selection: Choosing exactly where I sit (Window or Aisle), Live Tracking: Seeing exactly where the bus is on a map.",Lusaka — Solwezi,MTN MoMo,"In-app push notification, SMS/Text Message",9.05445E+11
4/17/2026 21:31:48,Physical trip to the station/inter-city terminus,Wasting time/money traveling to the station just to buy a ticket,I would likely use it for most trips,Yes,Seat Selection: Choosing exactly where I sit (Window or Aisle),Lusaka — Kitwe / Ndola,MTN MoMo,"SMS/Text Message, Email",969518395
4/17/2026 21:32:38,Physical trip to the station/inter-city terminus,Uncertainty about departure times,I would use it every time I travel,No,Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover.,Mufulira - Lusaka,Airtel Money,SMS/Text Message,
4/17/2026 22:14:47,Physical trip to the station/inter-city terminus,"Uncertainty about departure times, Lack of seat availability when I arrive, Limited payment options (cash only), Wasting time/money traveling to the station just to buy a ticket",I would use it every time I travel,Yes,"Refreshments: Pre-ordering a drink or snack for the trip., Seat Selection: Choosing exactly where I sit (Window or Aisle)",MONGU LUSAKA,Airtel Money,"WhatsApp, SMS/Text Message",Do not intend to travel soon
4/17/2026 22:31:26,Physical trip to the station/inter-city terminus,"Wasting time/money traveling to the station just to buy a ticket, Limited payment options (cash only), Uncertainty about departure times",I would use it every time I travel,Yes,"Live Tracking: Seeing exactly where the bus is on a map., Travel Protection: Paying an extra K5 – K10 for luggage insurance and accident cover., Seat Selection: Choosing exactly where I sit (Window or Aisle)",Lusaka_senanga,Airtel Money,SMS/Text Message,977983505
